img,Midjourney,Wikiart
Unprocessed Data/WikiArtFigProcessed/5fb2d038605feaeff672bb7256f614c9c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/eb9396b4cfea0e0fc29045bbecfb66dac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ce1a6e5439d4eb29d6169c7347a97cd8c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/1c76429903d2ab95078ca7a314cda438c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/89be1bd65e55aa36b510638224b4406ec.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/4654d70647dcea4e671a7cb22eb0828bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/26e897c4faeb29aed6037405b18040fdc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/9f6f1506b9e4147d6d4cd078ec08eb99c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/7b791f34e5d88e089e1a64088c043b82c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/6d116bdd4386283acf1f7f74991ee07fc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/57dda7f6c8969c46ef880dd5a2f5a627c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/a02a4fa5a915a47a2154d976da84cbc2c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/0404cf2c44fce4d10501209bd34aa1b2c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/22cb8311253a9d1de8ece735f3717d50c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/42a0037644dec50fe42ecacecc1dff40c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/9bdd7a9db103b1b6dcabbc6b6547964bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/60e16d3543a6a53d76feae1c5cd622d5c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/52df917b4a54ab216d16acd03719de0ac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/1f1f4a95d81c364dcfdcee73312bfcc8c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/58ca79aee8ec0c41cead4c5f225357e3c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c0ee2c53134dcf3a73f6c95bcce3836ec.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/a2a8855974e5752eb38c33429b173497c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/d2e5e04d33f97d156d91bd057b7681d8c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/3dfa26fd531eaae4d089657587d2c4a6c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/2e2121e5f13482c942b9671e5a976e93c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/454aa4a459e1f71faa4ad37b5a17574ac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/49648c65d14453f9fc5f584e794d711bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/026aeaefd3f1228df2c90eee9c277857c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ec47d928c5f58b251a3c5623f2b11af6c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/1745bc7620406d393bf615783aa4170dc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/e2d59f7bdd89bac3be59ddf38d0716a8c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ad854f5668060d4bd61537c0502bc627c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/242b7e4b0cf0d52d923487869f1ee8b2c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/a8d32bccf70b8a774cc84f725b9c7780c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/259d4f406be23146d6363d191dd812acc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/00ddb1181ac4ccba505d1c1d5e4e754bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/2a01b99add38827001c85dbdb4714e44c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/d33b505d6d01d2fa80c302f9900057c0c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/23be97caf30732b3c36e8123b474f2efc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/56ed8af04cf49bd1bda0fbe6cfc79ee5c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/031dc1030486a9d72c040f1b80cedfccc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/bea9991a07ebab65b5ae934c13f3e730c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/58f40099cf7586eeb63f1858c7336f8ec.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/235076ae4da26c66d37abe17a4297ef1c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c2301f92aeb1c8af6778fc8147eeeab0c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/a237c38e26392c822ec22720c3f3deb9c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/cf29bd77cad30abfbeeb2d8f70a7be03c.jpg,0,1
